product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link,trending_score,tags
73434639,Những Tấm Lòng Cao Cả (Bìa Cứng)(Tái Bản 2020),Edmondo De Amicis,110000,76800,1134.0,Tác phẩm kinh điển,277,4.8,367,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/1d/cd/8e/07836eb000d6dc2d955d841038a1c5ea.jpg,27.012581345715056,"edmondo de amicis, tác phẩm kinh điển"
207398344,Bồi Thẩm Cuối Cùng,John Grisham,150000,111000,12.0,Truyện trinh thám,0,0.0,484,Nhà Xuất Bản Trẻ,https://salt.tikicdn.com/ts/product/87/2e/ab/f7ba2468a860beef485e7fa9bcc3c5dc.jpg,0.0,"john grisham, truyện trinh thám"
116397383,Omoiyari - Nghệ Thuật Đối Nhân Xử Thế Của Người Nhật,Erin Niimi Longhurst,142000,94140,1170.0,Sách nghệ thuật sống đẹp,252,5.0,232,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/0e/8a/d7/0c508b631d240d69616af13b3419a92b.jpg,27.666947443637603,"erin niimi longhurst, sách nghệ thuật sống đẹp"
73207098,Làm Chủ - Mastery,Robert Greene,200000,142500,1469.0,Sách tư duy - Kỹ năng sống,254,4.8,,Nhà Xuất Bản Trẻ,https://salt.tikicdn.com/ts/product/b6/d2/d3/ed46155f476e1fdfb8c8ef594257a928.jpg,26.598065016760444,"robert greene, sách tư duy kỹ năng sống"
91625816,Trên Đỉnh Phố Wall (Tái bản 2021),John Rothchild,219000,144000,557.0,Bài học kinh doanh,88,5.0,572,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/bb/54/13/36f0440c22aa64a3bf8c9db4e789c187.jpg,22.4431818486607,"john rothchild, bài học kinh doanh"
207494295,Một Chỗ Ở Quầy Bar,Trịnh Nam Trân,84000,64900,21.0,Tiểu Thuyết,1,5.0,184,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/5f/c1/fe/a24b7256c2df596139d870f3cb3c6f62.JPG,3.4657359027997265,"trịnh nam trân, tiểu thuyết"
1464015,Ai Sẽ Khóc Khi Bạn Lìa Xa,Robin Sharma,90000,62001,6400.0,Sách nghệ thuật sống đẹp,217,4.7,248,Không rõ,https://salt.tikicdn.com/ts/product/7a/d7/54/66ae17303d56de61e95f32795aed1ac3.jpg,25.30712679510872,"robin sharma, sách nghệ thuật sống đẹp"
72667834,Sách Ehon - Combo 3 Cuốn Âm Thanh Quanh Bé  - Dành Cho Trẻ Từ 0 - 6 Tuổi,Fuku Mitsu,117000,78300,2550.0,Truyện tranh Ehon,401,5.0,24,Nhà Xuất Bản Lao Động Xã Hội,https://salt.tikicdn.com/ts/product/69/06/66/2c0bfd6828ec1ba523f137aaf91391fb.png,29.982260443095107,"fuku mitsu, truyện tranh ehon"
109515310,Truyện Cổ Grim 2,Jacob,200000,162000,171.0,Truyện cổ tích,50,4.8,426,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/5a/f7/05/d848ed245bd98f7f104aaec8d969fa25.jpg,18.872763037076762,"jacob, truyện cổ tích"
39521136,Để Hiệu Quả Trong Công Việc (Tái Bản 2019),Brian Tracy,52000,34300,2114.0,Sách kỹ năng làm việc,171,4.8,128,Không rõ,https://salt.tikicdn.com/media/catalog/producttmp/bf/dc/bd/c6f48f3d4137f8dbbe832609e630a386.jpg,24.70797348870457,"brian tracy, sách kỹ năng làm việc"
